Price,Close,High,Low,Open,Volume
Ticker,AGG,AGG,AGG,AGG,AGG
Date,,,,,
2006-01-05,53.61089324951172,53.626839625571925,53.46740830102586,53.5790086064053,203100
2006-01-06,53.48863983154297,53.61618239588369,53.462066605657185,53.610866939805526,201100
2006-01-09,53.547157287597656,53.61624207549113,53.46212611371997,53.53652636360818,170500
2006-01-10,53.44083786010742,53.589638275070776,53.43552645564961,53.57901141164792,251500
2006-01-11,53.40364074707031,53.541814306348776,53.36112923649093,53.5311874423308,111000
2006-01-12,53.541805267333984,53.57368990851257,53.32923153229434,53.419574051971495,188200
2006-01-13,53.690574645996094,53.74371703542651,53.57365895654652,53.61085903459825,108400
2006-01-17,53.717166900634766,53.743736077511564,53.563051078528275,53.70122458360752,253000
2006-01-18,53.780967712402344,53.86068339879935,53.67468283354515,53.86068339879935,142600
2006-01-19,53.70124053955078,53.73312518307898,53.573693856423866,53.69592508079373,156500
2006-01-20,53.72779846191406,53.7756294716871,53.5683712231851,53.72248300427123,134100
2006-01-23,53.72779846191406,53.78094087482372,53.62151363609476,53.68528290978386,221900
2006-01-24,53.637451171875,53.7437359882173,53.56836644670309,53.72779367121654,209400
2006-01-25,53.504615783691406,53.63747388763835,53.35581535599205,53.63747388763835,162600
2006-01-26,53.339881896972656,53.46210910239295,53.22828155765091,53.43553990989248,183800
2006-01-27,53.40895080566406,53.45677777066994,53.27609271908281,53.45677777066994,164400
2006-01-30,53.41427230834961,53.43021463182215,53.28672561155431,53.408956849022935,130800
2006-01-31,53.42488479614258,53.462084892403986,53.276084411096946,53.41425793485635,174300
2006-02-01,53.27606201171875,53.44675007793816,53.233393047307274,53.420082483871546,459300
2006-02-02,53.313385009765625,53.39873105380229,53.23870925599522,53.334721520774785,150400
2006-02-03,53.462745666503906,53.462745666503906,53.23338323826707,53.25471568177974,145000
2006-02-06,53.452091217041016,53.494764255761034,53.34541268976591,53.37741543404344,119800
2006-02-07,53.414737701416016,53.521416197487035,53.30272405968432,53.516085121350116,122900
2006-02-08,53.388065338134766,53.4680762438941,53.356062603640524,53.441408654990134,146800
2006-02-09,53.420074462890625,53.4734137125395,53.292059449828535,53.40940417124651,144200
2006-02-10,53.30803680419922,53.4627234071663,53.24402729174047,53.41471525544173,118100
2006-02-13,53.34540939331055,53.34540939331055,53.244061949994446,53.33473909952743,109600
2006-02-14,53.26007080078125,53.329415511535906,53.206731532949014,53.26007080078125,237600
2006-02-15,53.318763732910156,53.393439547713925,53.244087918106395,53.3827733182534,199000
2006-02-16,53.265377044677734,53.36672444723187,53.26004189993198,53.31338113882038,148300
2006-02-17,53.48408508300781,53.50542159882598,53.29739565650418,53.29739565650418,155800
2006-02-21,53.2867317199707,53.49475767121921,53.27606142684159,53.48408737809011,276700
2006-02-22,53.50009536743164,53.55876977386459,53.41474929642931,53.41474929642931,79400
2006-02-23,53.46806335449219,53.52140258896549,53.36138488554558,53.52140258896549,157900
2006-02-24,53.51077651977539,53.553449567181325,53.35608977507323,53.40942904956775,150500
2006-02-27,53.39870071411133,53.56405349357921,53.35602771633864,53.548052136794716,189300
2006-02-28,53.51077651977539,53.64412674077458,53.5001102926868,53.58545231797287,169000
2006-03-01,53.51236343383789,53.619444153935056,53.42134788528915,53.60338306709843,182800
2006-03-02,53.37855529785156,53.458864876477186,53.25541748404514,53.458864876477186,134000
2006-03-03,53.27145767211914,53.34105710109349,53.228625369036514,53.34105710109349,229300
2006-03-06,52.976966857910156,53.25001756131419,52.96090577265899,53.21789539081186,237300
2006-03-07,53.11082458496094,53.20184422620916,53.05728626256986,53.13759578851256,211200
2006-03-08,53.137611389160156,53.19114972726953,53.05730183963941,53.19114972726953,196100
2006-03-09,53.0679931640625,53.21254703423541,53.04657701946061,53.16971474503162,105700
2006-03-10,53.089412689208984,53.17507318835921,52.98768701705042,53.12688992347074,85600
2006-03-13,53.18579864501953,53.18579864501953,53.100138114581924,53.14297042215756,198900
2006-03-14,53.36247253417969,53.36247253417969,53.16438028333774,53.22327367810513,345800
2006-03-15,53.21795654296875,53.314327249925654,53.15370804342545,53.20724641735349,181100
